time,bidprice,askprice
2023-06-10 09:31:56.333782,26475.00,27800.49
2023-06-10 09:42:26.946401,26472.20,27798.24
2023-06-10 09:52:35.448531,26454.20,27776.75
2023-06-10 10:02:46.617872,26419.70,27742.18
2023-06-10 10:12:58.740608,26517.15,27846.64
2023-06-10 10:23:07.414494,26458.15,27784.63
2023-06-10 10:33:20.323690,26463.15,27786.96
2023-06-10 10:43:28.441876,26455.75,27779.72
2023-06-12 07:36:26.855127,25970.80,27279.39
2023-06-12 07:37:34.428174,25931.29,27233.47
2023-06-12 07:38:41.565920,25917.89,27221.37
2023-06-12 07:39:48.922011,25882.69,27213.60
2023-06-12 07:40:56.485139,25892.49,27186.28
2023-06-12 07:42:04.213025,25843.18,27172.74
2023-06-12 07:36:26.855127,25970.80,27279.39
2023-06-12 07:37:34.428174,25931.29,27233.47
2023-06-12 07:38:41.565920,25917.89,27221.37
2023-06-12 07:39:48.922011,25882.69,27213.60
2023-06-12 07:40:56.485139,25892.49,27186.28
2023-06-12 07:42:04.213025,25843.18,27172.74
2023-06-12 07:43:11.732479,25820.08,27122.00
2023-06-12 07:44:19.307611,25787.48,27071.57
2023-06-12 07:45:27.481547,25781.48,27092.78
2023-06-12 07:46:44.861176,25857.29,27113.74
2023-06-12 07:47:52.367887,25862.59,27146.33
2023-06-12 07:36:26.855127,25970.80,27279.39
2023-06-12 07:37:34.428174,25931.29,27233.47
2023-06-12 07:38:41.565920,25917.89,27221.37
2023-06-12 07:39:48.922011,25882.69,27213.60
2023-06-12 07:40:56.485139,25892.49,27186.28
2023-06-12 07:42:04.213025,25843.18,27172.74
2023-06-12 07:43:11.732479,25820.08,27122.00
2023-06-12 07:44:19.307611,25787.48,27071.57
2023-06-12 07:45:27.481547,25781.48,27092.78
2023-06-12 07:46:44.861176,25857.29,27113.74
2023-06-12 07:47:52.367887,25862.59,27146.33
2023-06-12 07:49:06.169497,25871.59,27156.53
2023-06-12 07:50:14.756980,25880.09,27178.79
2023-06-12 07:51:22.735129,25896.89,27192.34
2023-06-12 07:52:31.854765,25918.79,27235.30
2023-06-12 07:53:39.217103,25900.09,27210.62
2023-06-13 07:16:52.058640,25932.31,27230.12
2023-06-13 07:27:05.635347,25892.11,27185.72
2023-06-13 07:37:13.239434,25903.12,27202.62
2023-06-13 07:47:23.488465,25921.51,27224.78
2023-06-13 07:57:32.188826,25923.61,27223.58
2023-06-13 08:07:41.950200,25928.41,27230.01
2023-06-13 07:16:52.058640,25932.31,27230.12
2023-06-13 07:27:05.635347,25892.11,27185.72
2023-06-13 07:37:13.239434,25903.12,27202.62
2023-06-13 07:47:23.488465,25921.51,27224.78
2023-06-13 07:57:32.188826,25923.61,27223.58
2023-06-13 08:07:41.950200,25928.41,27230.01
2023-06-13 08:17:55.289195,25909.91,27210.99
2023-06-13 08:28:02.796093,25920.51,27223.10
2023-06-13 08:38:11.104625,25911.01,27210.50
2023-06-13 08:48:19.386629,25878.41,27177.37
2023-06-13 08:58:29.404060,25893.23,27196.78
2023-06-13 09:08:38.824721,25886.93,27187.72
2023-06-13 07:16:52.058640,25932.31,27230.12
2023-06-13 07:27:05.635347,25892.11,27185.72
2023-06-13 07:37:13.239434,25903.12,27202.62
2023-06-13 07:47:23.488465,25921.51,27224.78
2023-06-13 07:57:32.188826,25923.61,27223.58
2023-06-13 08:07:41.950200,25928.41,27230.01
2023-06-13 08:17:55.289195,25909.91,27210.99
2023-06-13 08:28:02.796093,25920.51,27223.10
2023-06-13 08:38:11.104625,25911.01,27210.50
2023-06-13 08:48:19.386629,25878.41,27177.37
2023-06-13 08:58:29.404060,25893.23,27196.78
2023-06-13 09:08:38.824721,25886.93,27187.72
2023-06-13 09:18:50.093260,25986.70,27298.07
2023-06-13 09:28:59.459385,25950.41,27256.28
2023-06-13 09:39:07.048023,25937.92,27237.06
2023-06-13 09:49:17.007745,25908.13,27212.37
2023-06-13 09:59:27.370001,25859.64,27156.07
2023-06-13 10:09:37.288183,25868.94,27162.55
2023-06-13 07:16:52.058640,25932.31,27230.12
2023-06-13 07:27:05.635347,25892.11,27185.72
2023-06-13 07:37:13.239434,25903.12,27202.62
2023-06-13 07:47:23.488465,25921.51,27224.78
2023-06-13 07:57:32.188826,25923.61,27223.58
2023-06-13 08:07:41.950200,25928.41,27230.01
2023-06-13 08:17:55.289195,25909.91,27210.99
2023-06-13 08:28:02.796093,25920.51,27223.10
2023-06-13 08:38:11.104625,25911.01,27210.50
2023-06-13 08:48:19.386629,25878.41,27177.37
2023-06-13 08:58:29.404060,25893.23,27196.78
2023-06-13 09:08:38.824721,25886.93,27187.72
2023-06-13 09:18:50.093260,25986.70,27298.07
2023-06-13 09:28:59.459385,25950.41,27256.28
2023-06-13 09:39:07.048023,25937.92,27237.06
2023-06-13 09:49:17.007745,25908.13,27212.37
2023-06-13 09:59:27.370001,25859.64,27156.07
2023-06-13 10:09:37.288183,25868.94,27162.55
2023-06-13 10:19:45.535716,25902.83,27203.95
2023-06-13 10:29:55.459989,25983.80,27292.61
